Agency,Date,Id,Title,Url,Home_url,File
Treasury,2023-05-12,3329,Profiteering as a cause of inflation in Australia,/the-department/accountability-reporting/foi/3329,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3329
Treasury,2023-05-12,3290,Communications on 1 March 2023,/the-department/accountability-reporting/foi/3290,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3290
Environment,2023-05-11,73108,"Documents relating to the PIIOP programs stage 1,2 and 3.",/sites/default/files/documents/73108.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/73108.pdf
Home Affairs,2023-05-11,FA 23/03/00097,"Testing the Reliability, Validity, and Equity of Terrorism Risk Assessment Instruments - Dr Emily Corner and Dr Helen Taylor, Centre for Social Research and Methods, The Australian National University",/foi/files/2023/fa-230400097-document-released-part-1.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230400097-document-released-part-1.PDF
Environment,2023-05-08,73051,Notes or minutes from Burrup Hub PAP meetings.,/sites/default/files/documents/73051.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/73051.pdf
Finance,2023-05-04,FOI 22-23/038,Cabinet Exemption,/about-us/freedom-information/disclosure-log/foi-foi-22-23/038,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22-23/038
Environment,2023-05-03,72936,Correspondence regarding reconstruction offsets of Cumberland Plain Conservation Plan.,/sites/default/files/documents/72936.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72936.pdf
Environment,2023-05-02,73063,Documents relating to various meetings with the Minister for Climate Change and Energy.,/sites/default/files/documents/73063.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/73063.pdf
Home Affairs,2023-04-28,FA 23/03/00025,"Number of Skilled Independent (subclass 189) visa applications lodged, granted, on hand by month and intended residence and Skilled Nominated (subclass 190) visa applications lodged, granted, refused and on hand by month and government sponsor, for Intensive Care Specialist ANZSCO 253317, from 1 January 2022 to 28 February 2023",/foi/files/2023/fa-230300025-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230300025-document-released.PDF
Finance,2023-04-28,FOI 22-23/035,Uber Trips for Public Servants,/about-us/freedom-information/disclosure-log/foi-foi-22-23/035,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22-23/035
Home Affairs,2023-04-27,FA 23/02/01680,"Number of Skilled Independent (subclass 189) visa applications lodged, granted, refused and withdrawn in total and for Electrical Engineer ANZSCO from 1 July 2022 to 31 December 2022; and number of these on hand monthly from 1 July 2022 to 31 December 2022",/foi/files/2023/fa-230201680-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201680-document-released.PDF
Home Affairs,2023-04-27,FA 23/02/01631,"Number of Skilled Independent (subclass 189), Skilled Nominated (subclass 190), Skilled Regional (provisional) (subclass 489), Skilled Work Regional (provisional) (subclass 491) and Skilled Regional (subclass 887) visa applications lodged, granted, refused and on hand monthly, from 31 July 2022 to 28 February 2023; and number of primary applications on hand as at 28 February 2023",/foi/files/2023/fa-230201631-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201631-document-released.PDF
Environment,2023-04-27,72995,Documents relating to Assessment Approach Decision for the Cape Flattery Silica Sands Mine (EPBC 2022/09376).,/sites/default/files/documents/72995.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72995.pdf
Home Affairs,2023-04-26,FA 23/02/00382,"Number of Business Innovation and Investment (Permanent) (subclass 888) visa applications lodged, granted, refused and withdrawn, and on hand monthly from 1 January 2022 to 31 January 2023",/foi/files/2023/fa-230200382-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200382-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/00166,Number of section 501 Character cancellations by cancellation power used for financial years 2013-23 as at 31 January 2023,/foi/files/2023/fa-230200166-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200166-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/01073,"Number of Student (subclass 500) visas cancelled under section 501 by ground; and number cancelled under section 501 or general cancellation provisions, by visa stream, from 1 July 2018 to 31 January 2023",/foi/files/2023/fa-230201073-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201073-document-released.PDF
Environment,2023-04-26,72999,Documents regarding refusal of rezoning proposal.,/sites/default/files/documents/72999.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72999.pdf
Environment,2023-04-26,72842,Correspondence/briefs discussing recommendation 9.8 of the Pepper Inquiry.,/sites/default/files/documents/72842.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72842.pdf
Home Affairs,2023-04-26,FA 23/02/00162,"Number of section 501 Character cancellations by age at time of cancellation for financial years 2013-23 as at 31 January 2023; and number of section 501 Character cancellations by individuals removed after visa cancellation, and age at time of cancellation, for financial years 2013-23 as at 31 January 2023",/foi/files/2023/fa-230200162-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200162-document-released.PDF
Environment,2023-04-24,72843,Correspondence and briefs to the Minister discussing recommendation 9.8 of the Pepper Inquiry.,/sites/default/files/documents/72843.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72843.pdf
